Cutoff/size ratio,Threads : 2,Threads: 4,Threads: 6,Threads: 8,Threads: 16
0.05,1020,1027,1109,1157,1029
0.1,828,702,805,682,641
0.15,956,741,545,482,386
0.2,1042,746,543,475,427
0.25,829,804,528,443,372
0.3,642,399,387,397,407
0.35,641,404,412,423,433
0.4,657,387,380,405,463
0.45,668,385,380,396,418
0.5,620,390,393,406,419
0.55,571,562,555,550,582
0.6,607,598,554,563,569
0.65,576,601,562,577,574
0.7,576,588,578,546,576
0.75,589,579,575,564,596
0.8,579,575,551,563,705
0.85,575,576,578,584,585
0.9,575,591,581,601,567
0.95,579,604,557,560,577
1,567,586,558,549,582
,,,,,
,,,,,
,,,,,
Cutoff/size ratio,Threads : 2,Threads: 4,Threads: 6,Threads: 8,Threads: 16
0.05,13778,14339,13742,14534,15380
0.1,13587,13337,12399,12629,11627
0.15,14084,13932,13703,14564,8116
0.2,14998,13346,13497,13648,8084
0.25,15859,13823,14431,13136,8086
0.3,11189,7393,10102,8833,6610
0.35,11513,7253,10335,11960,6916
0.4,11146,7356,10014,9769,6836
0.45,11190,7286,9907,9970,6856
0.5,11258,7825,9942,9661,6844
0.55,10445,11705,7338,8621,7380
0.6,10442,11743,7348,8596,7384
0.65,10524,11299,7287,8484,7454
0.7,10543,10905,7475,8218,7950
0.75,10933,10752,7320,7945,8392
0.8,11425,10838,7362,8133,8600
0.85,11441,10798,7639,8144,8515
0.9,11375,11200,7534,8405,8007
0.95,11409,11460,8395,8487,8004
1,11343,11337,9620,8331,8136
